EMA_short,EMA_long,Mode,Vol_Filter,Total Return,CAGR,Volatility,Sharpe Ratio,Max Drawdown
5,100,mean_reversion,True,7.930127708425083e+179,6.3699218985456e+22,9.480242933485062,6.719154712846513e+21,-0.6396940368548752
5,100,mean_reversion,False,7.930127708425083e+179,3.976589583259396e+22,9.450975750366803,4.207596853801112e+21,-0.6396940368548752
5,150,mean_reversion,True,8.07833502325945e+172,8.276172452345393e+21,9.41746352603361,8.788112031935951e+20,-0.6607874349418142
5,150,mean_reversion,False,8.07833502325945e+172,5.262099758523671e+21,9.387621745641257,5.60535980368713e+20,-0.6607874349418142
5,200,mean_reversion,True,8.043027438922007e+166,1.4355721135042454e+21,9.328462089449129,1.5389161683231107e+20,-0.6607874349418141
5,200,mean_reversion,False,8.043027438922007e+166,9.272168586805409e+20,9.298300911831207,9.971895591169191e+19,-0.6607874349418141
5,250,mean_reversion,True,2.558721150234584e+161,2.885173432173706e+20,9.239141457731545,3.1227722244249444e+19,-0.6607874349418144
5,250,mean_reversion,False,2.558721150234584e+161,1.8905194481067652e+20,9.20872173653792,2.0529662011673715e+19,-0.6607874349418144
10,100,mean_reversion,True,8.883186054398928e+149,1.017571778950295e+19,9.268724544491986,1.0978552378654894e+18,-0.6776863790848477
10,100,mean_reversion,False,8.883186054398928e+149,6.870821051771098e+18,9.237205111151251,7.438203405786205e+17,-0.6776863790848477
10,150,mean_reversion,True,7.403672716281714e+141,9.626115206822993e+17,9.1442425018534,1.0526968422886778e+17,-0.6776863790848477
10,150,mean_reversion,False,7.403672716281714e+141,6.638716095536493e+17,9.112396599269765,7.285367820874363e+16,-0.6776863790848477
10,200,mean_reversion,True,3.7445400209838947e+129,2.659481600328933e+16,8.898749674499049,2988601430097703.0,-0.6776863790848476
10,200,mean_reversion,False,3.7445400209838947e+129,1.8941569427504252e+16,8.866776712597758,2136240715365303.8,-0.6776863790848476
10,250,mean_reversion,True,1.1988464437646101e+117,693377953251067.6,8.621351484287846,80425668123463.95,-0.6776863790848476
10,250,mean_reversion,False,1.1988464437646101e+117,510270904929700.1,8.589444051583039,59406744122823.29,-0.6776863790848476
20,100,mean_reversion,True,3.329029757880012e+113,245557354005460.94,8.806897051765251,27882391784770.723,-0.6782243553609775
20,100,mean_reversion,False,3.329029757880012e+113,182401724713717.38,8.774163443849117,20788503186772.184,-0.6782243553609775
20,150,mean_reversion,True,4.900889308924916e+94,1006914493574.119,8.300996915537263,121300429794.09404,-0.6782243553609775
20,150,mean_reversion,False,4.900889308924916e+94,785757925673.6594,8.268909346953517,95025582299.21255,-0.6782243553609775
30,100,mean_reversion,True,3.7456873967379693e+86,94212739112.04225,8.291048602427585,11363187412.079233,-0.7104713853867588
30,100,mean_reversion,False,3.7456873967379693e+86,75099675172.55312,8.258562071492896,9093553396.151611,-0.7104713853867588
20,200,mean_reversion,True,3.798218951486807e+81,21931761813.502884,7.909187745974133,2772947427.4607277,-0.7027834368060104
20,200,mean_reversion,False,3.798218951486807e+81,17712596641.936268,7.877810902989832,2248416071.425868,-0.7027834368060104
30,150,mean_reversion,True,4.437933753655424e+75,3882212093.5829377,7.834358040775021,495536720.861801,-0.7104713853867588
30,150,mean_reversion,False,4.437933753655424e+75,3184459101.4496474,7.802990253876478,408107532.86121655,-0.7104713853867588
20,250,mean_reversion,True,9.302798477150005e+71,1326728342.5843027,7.587576206792611,174855356.4966607,-0.7027834368060104
20,250,mean_reversion,False,9.302798477150005e+71,1098809858.4147072,7.556912424534784,145404603.98181096,-0.7027834368060104
50,100,mean_reversion,True,1.7423460833139288e+71,1072917514.7686132,7.868220270123356,136360889.49398366,-0.7104713853867588
50,100,mean_reversion,False,1.7423460833139288e+71,890295819.0217842,7.836524821358184,113608498.57775132,-0.7104713853867588
30,200,mean_reversion,True,6.53979034972377e+60,51169965.527881384,7.33334937138257,6977707.311691085,-0.7104713853867588
30,200,mean_reversion,False,6.53979034972377e+60,43635655.822207965,7.303199966835865,5974868.005854871,-0.7104713853867588
50,150,mean_reversion,True,2.521273595093116e+54,7870094.401134423,7.202055437702219,1092756.709415908,-0.7104713853867588
50,150,mean_reversion,False,2.521273595093116e+54,6824985.732834758,7.172159183213327,951594.2909924337,-0.7104713853867588
30,250,mean_reversion,True,1.4144902227317678e+49,1699642.1180493592,6.701847627956409,253607.99176623925,-0.7079906562199368
30,250,mean_reversion,False,1.4144902227317678e+49,1494348.6870869354,6.673769787554084,223913.7301190321,-0.7079906562199368
50,200,mean_reversion,True,2.902116494313077e+42,241321.4112005432,6.558429965270065,36795.60694837823,-0.7104713853867588
50,200,mean_reversion,False,2.902116494313077e+42,215922.1327009526,6.53067905633191,33062.73832146174,-0.7104713853867588
50,250,mean_reversion,True,3.146298089235234e+27,3058.4023983014995,5.873400138630538,520.7209326988926,-0.7079906562199368
50,250,mean_reversion,False,3.146298089235234e+27,2845.8180060885948,5.848032998443796,486.6282401015671,-0.7079906562199368
50,250,momentum,True,-1.0,-0.9996674248738722,10.400343440441791,-0.09611869363723702,-1.0
50,250,momentum,False,-1.0,-0.9996209561673568,10.387632202045845,-0.09623183962659762,-1.0
50,200,momentum,True,-1.0,-0.9999958767228874,10.005483427439664,-0.09994478367536307,-1.0
50,200,momentum,False,-1.0,-0.9999951117805664,9.996126561814975,-0.1000382603798285,-1.0
30,250,momentum,True,-1.0,-0.9999994191614516,9.909097056661134,-0.10091730996713046,-1.0
30,250,momentum,False,-1.0,-0.9999992991882547,9.900650134471874,-0.10100339731291769,-1.0
50,150,momentum,True,-1.0,-0.9999998757534252,9.54014657058034,-0.10482017947577443,-1.0
50,150,momentum,False,-1.0,-0.9999998480011596,9.535010137479288,-0.10487664235095646,-1.0
30,200,momentum,True,-1.0,-0.9999999810508771,9.425987517141646,-0.10608967805572894,-1.0
30,200,momentum,False,-1.0,-0.9999999764238311,9.422008250851643,-0.10613448320143876,-1.0
20,250,momentum,True,-1.0,-0.9999999992792379,9.185348457433417,-0.10886903245025713,-1.0
20,250,momentum,False,-1.0,-0.9999999990765444,9.183852524718603,-0.10888676580825048,-1.0
30,150,momentum,False,-1.0,-0.9999999996836306,8.942653159982392,-0.1118236368775371,-1.0
30,150,momentum,True,-1.0,-0.9999999997554554,8.941658054814233,-0.11183608158858752,-1.0
50,100,momentum,False,-1.0,-0.999999998863821,8.924294662424415,-0.11205367333670674,-1.0
50,100,momentum,True,-1.0,-0.99999999911154,8.923229896000898,-0.11206704419435698,-1.0
20,200,momentum,False,-1.0,-0.9999999999435346,8.84998066518803,-0.1129945971381722,-1.0
20,200,momentum,True,-1.0,-0.9999999999570296,8.84789709869748,-0.11302120592069746,-1.0
30,100,momentum,False,-1.0,-0.9999999999868204,8.424312456510764,-0.11870404916118305,-1.0
30,100,momentum,True,-1.0,-0.9999999999901015,8.417584534532264,-0.11879892573548928,-1.0
20,150,momentum,False,-1.0,-0.9999999999987537,8.369556430682147,-0.11948064491599948,-1.0
20,150,momentum,True,-1.0,-0.9999999999990837,8.361949188996935,-0.11958934183849539,-1.0
10,250,momentum,False,-1.0,-0.9999999999999981,7.819793669191643,-0.1278806119833813,-1.0
10,250,momentum,True,-1.0,-0.9999999999999987,7.804921361098336,-0.12812428898825895,-1.0
20,100,momentum,False,-1.0,-0.9999999999999948,7.591122906058857,-0.13173281639292714,-1.0
20,100,momentum,True,-1.0,-0.9999999999999963,7.573552313183956,-0.13203843568350448,-1.0
10,200,momentum,False,-1.0,-1.0,7.295702084289978,-0.13706700033069136,-1.0
10,200,momentum,True,-1.0,-1.0,7.273448626239019,-0.13748636326274344,-1.0
10,150,momentum,False,-1.0,-1.0,6.731354027983113,-0.1485585211894769,-1.0
10,150,momentum,True,-1.0,-1.0,6.70025028677105,-0.1492481559941718,-1.0
10,100,momentum,False,-1.0,-1.0,6.358681023402865,-0.1572653190684579,-1.0
10,100,momentum,True,-1.0,-1.0,6.321009148104354,-0.15820258705050225,-1.0
5,250,momentum,False,-1.0,-1.0,6.204963814722139,-0.16116129438617532,-1.0
5,250,momentum,True,-1.0,-1.0,6.1637497792987554,-0.16223890258468104,-1.0
5,200,momentum,False,-1.0,-1.0,5.896764524411722,-0.16958452314996636,-1.0
5,200,momentum,True,-1.0,-1.0,5.849452885311653,-0.170956159423228,-1.0
5,150,momentum,False,-1.0,-1.0,5.549175454320739,-0.1802069529485453,-1.0
5,150,momentum,True,-1.0,-1.0,5.494373510119417,-0.18200437195582386,-1.0
5,100,momentum,False,-1.0,-1.0,5.189147017038548,-0.19270989947220674,-1.0
5,100,momentum,True,-1.0,-1.0,5.125586290498369,-0.19509963218330062,-1.0
